src,dst,relation,source_doc_id,source_chunk_id,experiment_ref,paper_doc_id,reaction_system,paper_reaction_system
Failure_Mode:Dewetting_of_ionic_liquid_from_catalyst_surface,Operating_Condition:Gas_fed_electrolysis,caused_by,doc_1781,doc_1781_chunk_163011,,doc_1781,other_reaction,other_reaction
Failure_Mode:Disrupted_actin_cytoskeleton_organization,Anode:AHA6_H_ATPase,caused_by,doc_2248,doc_2248_chunk_207062,,doc_2248,CO2RR,CO2RR
Failure_Mode:Disrupted_actin_cytoskeleton_organization,Anode:AHA8_H_ATPase,caused_by,doc_2248,doc_2248_chunk_207062,,doc_2248,CO2RR,CO2RR
Failure_Mode:Disrupted_actin_cytoskeleton_organization,Anode:AHA9_H_ATPase,caused_by,doc_2248,doc_2248_chunk_207062,,doc_2248,CO2RR,CO2RR
Failure_Mode:Disruption_of_perovskite_structure_by_excessive_Co_doping,Cathode:Co_doped_SrIrO3_catalyst_SI6C1,caused_by,doc_1980,doc_1980_chunk_180711,,doc_1980,CO2RR,CO2RR
Failure_Mode:Dissociation_of_active_Cu_single_atoms_at_1100_C_pyrolysis,Cathode:Single_atom_Cu_catalysts_on_nitrogen_doped_carbon_with_Cu_Nx,caused_by,doc_0126,doc_0126_chunk_014501,,doc_0126,CO2RR,CO2RR
Failure_Mode:Dissolution_and_leaching_of_Cu_species,Cathode:Copper_I_oxide_cubes,caused_by,doc_0445,doc_0445_chunk_040048,,doc_0445,CO2RR,CO2RR
Failure_Mode:Dissolution_of_Sn_and_Cu_catalysts,Electrolyte:0_1_M_H2SO4_0_4_M_M2SO4_acidic_media_M_Li_Na_K_Cs,caused_by,doc_2543,doc_2543_chunk_236164,,doc_2543,other_reaction,other_reaction
Failure_Mode:Dissolution_of_Sn_and_Cu_catalysts,Electrolyte:0_8_M_KHCO3_near_neutral_media,caused_by,doc_2543,doc_2543_chunk_236164,,doc_2543,other_reaction,other_reaction
Failure_Mode:Dissolution_of_Sn_and_Cu_catalysts,Electrolyte:0_8_M_KOH_alkaline_media,caused_by,doc_2543,doc_2543_chunk_236164,,doc_2543,other_reaction,other_reaction
Failure_Mode:Dissolution_of_Sn_and_Cu_from_SnO2_C_and_Cu_C_catalysts,Anode:CeTech_W1S1009_carbon_cloth_anode,caused_by,doc_0858,doc_0858_chunk_080837,,doc_0858,CO2RR,CO2RR
Failure_Mode:Dissolution_of_Sn_and_Cu_from_SnO2_C_and_Cu_C_catalysts,Cathode:CeTech_W1S1009_carbon_cloth_cathode,caused_by,doc_0858,doc_0858_chunk_080837,,doc_0858,CO2RR,CO2RR
Failure_Mode:Dissolution_of_non_cubic_particles_at_lower_potentials,Operating_Condition:Potential_0_7_V,caused_by,doc_0392,doc_0392_chunk_035770,,doc_0392,unknown,non_reaction
Failure_Mode:Dissolution_of_non_cubic_particles_at_lower_potentials,Operating_Condition:Potential_cycling,caused_by,doc_0392,doc_0392_chunk_035770,,doc_0392,unknown,non_reaction
Failure_Mode:Drastic_decrease_in_H2_evolution_rate_due_to_severely_deformed_hollow_nanostructures,Cathode:Pt_loaded_hollow_carbon_nitride_nanospheres_HCNS,caused_by,doc_1156,doc_1156_chunk_107328,,doc_1156,CO2RR,CO2RR
Failure_Mode:Drastically_reduced_seed_set,Anode:AHA6_H_ATPase,caused_by,doc_2248,doc_2248_chunk_207044,,doc_2248,CO2RR,CO2RR
Failure_Mode:Drastically_reduced_seed_set,Anode:AHA8_H_ATPase,caused_by,doc_2248,doc_2248_chunk_207044,,doc_2248,CO2RR,CO2RR
Failure_Mode:Drastically_reduced_seed_set,Anode:AHA9_H_ATPase,caused_by,doc_2248,doc_2248_chunk_207044,,doc_2248,CO2RR,CO2RR
Failure_Mode:Dynamic_structural_and_compositional_changes_of_Cu_catalysts,Cathode:Cu_based_bimetallic_catalysts,caused_by,doc_0827,doc_0827_chunk_078681,,doc_0827,CO2RR,CO2RR
Failure_Mode:Electrocatalyst_surface_instability_and_degradation,Operating_Condition:Acidic_pH,caused_by,doc_0036,doc_0036_chunk_003047,,doc_0036,other_reaction,other_reaction
Failure_Mode:Electrochemical_instability_of_NiFe_NF_anode,Anode:NiFe_NF_anode,caused_by,doc_1955,doc_1955_chunk_178087,,doc_1955,other_reaction,other_reaction
Failure_Mode:Electrode_breakage_at_joint,Electrolyte:Electrolyte_with_Co2_and_Na_ions,caused_by,doc_0618,doc_0618_chunk_057545,,doc_0618,CO2RR,CO2RR
Failure_Mode:Electrolyte_Penetration,Operating_Condition:Catalyst_Loading,caused_by,doc_1854,doc_1854_chunk_168741,,doc_1854,other_reaction,other_reaction
Failure_Mode:Electrolyte_composition_drift_due_to_H_and_K_migration_through_PEM,Electrolyte:KHCO3_electrolyte,caused_by,doc_1964,doc_1964_chunk_179034,,doc_1964,other_reaction,other_reaction
Failure_Mode:Electrolyte_composition_drift_due_to_H_and_K_migration_through_PEM,Electrolyte:KOH_electrolyte,caused_by,doc_1964,doc_1964_chunk_179034,,doc_1964,other_reaction,other_reaction
Failure_Mode:Electrolyte_composition_drift_due_to_alkali_cation_migration,Electrolyte:0_1_M_H2SO4_acidic_electrolyte_without_alkali_cations,caused_by,doc_0552,doc_0552_chunk_050467,,doc_0552,transferable,non_reaction
Failure_Mode:Electrolyte_crossover,Cathode:GDE,caused_by,doc_0069,doc_0069_chunk_008394,,doc_0069,CORR,CORR
Failure_Mode:Electrolyte_puddles_form_at_bubble_electrode_interface,Electrolyte:0_1_mol_L_1_HClO4,caused_by,doc_2034,doc_2034_chunk_186637,,doc_2034,CO2RR,CO2RR
Failure_Mode:Electrolyte_puddles_form_at_bubble_electrode_interface,Gas_Feed:Hydrogen_gas_bubbles,caused_by,doc_2034,doc_2034_chunk_186637,,doc_2034,CO2RR,CO2RR
Failure_Mode:Electrolyte_reorientation_causing_partial_coverage_and_current_loss_below_0_166_g,Operating_Condition:Current_density_50_100_mA_cm_2,caused_by,doc_1898,doc_1898_chunk_172420,,doc_1898,CO2RR,CO2RR
Failure_Mode:Electrolyte_reorientation_issues_below_0_166_g_causing_current_loss,Operating_Condition:Gravity_range_0_166_g_to_8_g,caused_by,doc_2300,doc_2300_chunk_211354,,doc_2300,other_reaction,other_reaction
Failure_Mode:Electrowetting_causing_electrolyte_penetration_and_hydrophobicity_loss,Operating_Condition:Current_density_150_mA_cm_2,caused_by,doc_2014,doc_2014_chunk_184446,,doc_2014,CO2RR,CO2RR
Failure_Mode:Erratic_and_wavy_pollen_tube_morphology,Anode:AHA6_H_ATPase,caused_by,doc_2248,doc_2248_chunk_207041,,doc_2248,CO2RR,CO2RR
Failure_Mode:Erratic_and_wavy_pollen_tube_morphology,Anode:AHA8_H_ATPase,caused_by,doc_2248,doc_2248_chunk_207041,,doc_2248,CO2RR,CO2RR
Failure_Mode:Erratic_and_wavy_pollen_tube_morphology,Anode:AHA9_H_ATPase,caused_by,doc_2248,doc_2248_chunk_207041,,doc_2248,CO2RR,CO2RR
Failure_Mode:Ethanol_selectivity_decrease_after_12_hours,Cathode:FeTPP_Cl_Cu_catalyst,caused_by,doc_0837,doc_0837_chunk_079381,,doc_0837,CO2RR,CO2RR
Failure_Mode:Excess_pyridine_inhibits_photocatalytic_activity_by_coordination_competition,Anode:Pyridine_appended_iridium_photosensitizer_IrQPY,caused_by,doc_1413,doc_1413_chunk_127199,,doc_1413,other_reaction,other_reaction
Failure_Mode:Excessive_precipitate_formation_causes_pressure_build_up_and_performance_degradation,Cathode:GDE,caused_by,doc_2063,doc_2063_chunk_189661,,doc_2063,other_reaction,other_reaction
Failure_Mode:Exfoliation_of_Mo2C_particles_from_CNT_substrate,Cathode:Mo2C_N_CNT_catalyst,caused_by,doc_0502,doc_0502_chunk_045495,,doc_0502,unknown,unknown
Failure_Mode:FDCA_degradation_to_humins,Operating_Condition:high_biomass_feedstock_concentration,caused_by,doc_0554,doc_0554_chunk_050681,,doc_0554,unknown,non_reaction
Failure_Mode:Faster_capacity_degradation_in_S_Co_HC_and_S_CoS2_HC_cathodes,Cathode:S_CoS2_HC_sulfur_cathode_with_CoS2_nanoparticles_decorated_hollow_carbon,caused_by,doc_1260,doc_1260_chunk_114499,,doc_1260,CO2RR,CO2RR
Failure_Mode:Faster_capacity_degradation_in_S_Co_HC_and_S_CoS2_HC_cathodes,Cathode:S_Co_HC_sulfur_cathode_with_Co_nanoparticles_decorated_hollow_carbon,caused_by,doc_1260,doc_1260_chunk_114499,,doc_1260,CO2RR,CO2RR
Failure_Mode:Fenton_type_peroxide_induced_free_radical_formation,Cathode:FePhen_MOF_ArNH_catalyst,caused_by,doc_0310,doc_0310_chunk_029085,,doc_0310,unknown,unknown
Failure_Mode:Fibre_formation_fails_at_100_Hz_AC_frequency,Electrolyte:1_mM_tetrabutylammonium_perchlorate_in_acetonitrile,caused_by,doc_1119,doc_1119_chunk_104769,,doc_1119,unknown,unknown
Failure_Mode:Flow_field_plate_burn_marks,Operating_Condition:Water_starvation,caused_by,doc_2490,doc_2490_chunk_231250,,doc_2490,other_reaction,other_reaction
Failure_Mode:Formation_of_Pt_nanoparticles_on_control_catalysts_after_reaction,Operating_Condition:n_hexane_reforming_at_400_and_550_C_H2_pretreatment,caused_by,doc_1153,doc_1153_chunk_107123,,doc_1153,other_reaction,other_reaction
Failure_Mode:Formation_of_electrochemically_inactive_zinc_pyrovanadate_ZVO_phase,Anode:Zinc_metal_anode,caused_by,doc_1464,doc_1464_chunk_131617,,doc_1464,other_reaction,other_reaction
Failure_Mode:Formation_of_electrochemically_inactive_zinc_pyrovanadate_ZVO_phase,Cathode:Hydrated_vanadium_pentoxide_VOX,caused_by,doc_1464,doc_1464_chunk_131617,,doc_1464,other_reaction,other_reaction
Failure_Mode:Formation_of_metallic_indium_or_In_OH_phases_causing_activity_loss,Anode:InOOH_oxygen_vacancy_rich_nanosheets,caused_by,doc_1515,doc_1515_chunk_136596,,doc_1515,unknown,unknown
Failure_Mode:Formation_of_metallic_indium_or_In_OH_phases_causing_activity_loss,Cathode:InOOH_oxygen_vacancy_rich_nanosheets,caused_by,doc_1515,doc_1515_chunk_136596,,doc_1515,unknown,unknown
Failure_Mode:Formyl_complex_decomposition,Anode:Os3_CO_11_CHO_formyl_complex,caused_by,doc_0177,doc_0177_chunk_018842,,doc_0177,CO2RR,CO2RR
Failure_Mode:Fracture_and_loss_of_electrical_contact_due_to_volume_expansion,Anode:Silicon_nanoparticles,caused_by,doc_1159,doc_1159_chunk_107517,,doc_1159,CO2RR,CO2RR
Failure_Mode:Full_ligand_fragmentation_and_reduction_of_Oct_2Cu_to_Cu_clusters,Cathode:Oct_2Cu,caused_by,doc_1480,doc_1480_chunk_133015,,doc_1480,other_reaction,other_reaction
Failure_Mode:GDL_corrosion,Operating_Condition:electrolysis_potentials,caused_by,doc_0844,doc_0844_chunk_079906,,doc_0844,CORR,CORR
Failure_Mode:GDL_degradation_and_micro_cracks,Cathode:GDE,caused_by,doc_0938,doc_0938_chunk_090072,,doc_0938,other_reaction,other_reaction
Failure_Mode:Garnet_decomposition_and_cracking_at_high_temperature,Electrolyte:Garnet_Li7La2_75Ca0_25Zr1_75Nb0_25O12_LLCZN,caused_by,doc_1226,doc_1226_chunk_112057,,doc_1226,unknown,unknown
Failure_Mode:Gold_particle_contamination_in_membrane_near_anode_side,Gas_Feed:Anode_water_feed_with_deionized_water_or_diluted_sulfuric_acid,caused_by,doc_1878,doc_1878_chunk_170779,,doc_1878,other_reaction,other_reaction
Failure_Mode:H2O2_Decomposition_to_O2_Bubbles_at_High_Current_Density,Operating_Condition:PSER_Current_Density_125_mA_cm2,caused_by,doc_2054,doc_2054_chunk_188962,,doc_2054,CO2RR,CO2RR
Failure_Mode:H2O2_disproportionation,Cathode:Pt_g_C3N4_catalyst,caused_by,doc_0391,doc_0391_chunk_035677,,doc_0391,transferable,non_reaction
Failure_Mode:H2O2_reduction,Electrolyte:phosphoric_acid_H3PO4_stabilizer,caused_by,doc_0391,doc_0391_chunk_035720,,doc_0391,transferable,non_reaction
Failure_Mode:HER_current_attenuation_8_after_28_h_continuous_testing,Cathode:CoO_nanorods_with_3_0_tensile_strain,caused_by,doc_1237,doc_1237_chunk_112802,,doc_1237,other_reaction,other_reaction
Failure_Mode:HER_dominates_at_pH_0_CO2RR_nearly_zero,Electrolyte:acidic_electrolyte_pH_1,caused_by,doc_0619,doc_0619_chunk_057628,,doc_0619,CO2RR,CO2RR
Failure_Mode:HOR_catalyst_poisoning_by_CO_and_CO2RR_products,Anode:Pt_C_anode_with_0_1_mg_cm_2_Pt_loading,caused_by,doc_1566,doc_1566_chunk_141909,,doc_1566,other_reaction,other_reaction
Failure_Mode:HOR_catalyst_poisoning_by_CO_and_CO2RR_products,Cathode:GDE,caused_by,doc_1566,doc_1566_chunk_141909,,doc_1566,other_reaction,other_reaction
Failure_Mode:HOR_catalyst_poisoning_by_CO_and_CO2RR_products,Cathode:Pt_C_cathode_with_0_5_mg_cm_2_Pt_loading,caused_by,doc_1566,doc_1566_chunk_141909,,doc_1566,other_reaction,other_reaction
Failure_Mode:HOR_catalyst_poisoning_by_CO_and_CO2RR_products,Electrolyte:KOH_electrolyte,caused_by,doc_1566,doc_1566_chunk_141909,,doc_1566,other_reaction,other_reaction
Failure_Mode:HOR_catalyst_poisoning_by_CO_and_CO2RR_products,Gas_Feed:CO2_gas_feed_to_cathode,caused_by,doc_1566,doc_1566_chunk_141909,,doc_1566,other_reaction,other_reaction
Failure_Mode:H_CuCP_catalyst_decomposition_and_Cu_agglomeration,Cathode:H_CuCP_catalyst,caused_by,doc_2435,doc_2435_chunk_225130,,doc_2435,other_reaction,other_reaction
Failure_Mode:High_hydrogen_evolution_reaction_90_with_CO2_feed,Separator:Nafion_1110_CEM_254_m_thick,caused_by,doc_0677,doc_0677_chunk_064224,,doc_0677,CO2RR,CO2RR
Failure_Mode:High_infrared_radiation_heat_loss_from_Ni_Y2O3_nanosheets,Cathode:Ni_Y2O3_nanosheets_with_Ni_nanoparticles,caused_by,doc_2231,doc_2231_chunk_205676,,doc_2231,CO2RR,CO2RR
Failure_Mode:High_overpotential_in_OER_with_porphyrin_catalysts,Cathode:Oxygen_evolution_reaction_cathode,caused_by,doc_0935,doc_0935_chunk_089084,,doc_0935,transferable,both
Failure_Mode:Hindered_Electron_Transfer,Operating_Condition:PTFE_CB_Mass_Ratio,caused_by,doc_1854,doc_1854_chunk_168731,,doc_1854,other_reaction,other_reaction
Failure_Mode:Hydroborane_consumed_to_methoxyborane_instead_of_methylamine,Operating_Condition:Catalyst_loading_temperature_solvent_polarity_hydroborane_equivalents_affect_yield,caused_by,doc_0021,doc_0021_chunk_001821,,doc_0021,CO2RR,CO2RR
Failure_Mode:Hydrocerussite_decomposition_to_Pb_metal,Gas_Feed:CO2,caused_by,doc_0389,doc_0389_chunk_035520,,doc_0389,unknown,unknown
Failure_Mode:Hydrogen_accumulation_causing_performance_deterioration_in_fuel_cell_mode,Operating_Condition:Fuel_cell_mode_temperatures,caused_by,doc_1331,doc_1331_chunk_120282,,doc_1331,CO2RR,CO2RR
Failure_Mode:Hydrogen_evolution,Gas_Feed:Low_inlet_CO2_flow_rate,caused_by,doc_1963,doc_1963_chunk_178972,,doc_1963,other_reaction,other_reaction
Failure_Mode:Hydrogen_evolution,Operating_Condition:Low_CO2_partial_pressure_or_acidic_electrolyte,caused_by,doc_1963,doc_1963_chunk_178960,,doc_1963,other_reaction,other_reaction
Failure_Mode:Hydrogen_evolution_reaction_bubble_formation,Electrolyte:KOH_electrolyte,caused_by,doc_0630,doc_0630_chunk_058983,,doc_0630,CO2RR,CO2RR
Failure_Mode:Hydrophobicity_breakdown_due_to_precipitates,Electrolyte:KOH_electrolyte,caused_by,doc_0524,doc_0524_chunk_047610,,doc_0524,CO2RR,CO2RR
Failure_Mode:Hypochlorite_formation_at_onset_potentials_490_mV_above_OER,Operating_Condition:25_C_alkaline_natural_seawater,caused_by,doc_2239,doc_2239_chunk_206259,,doc_2239,CO2RR,CO2RR
Failure_Mode:I2_precipitate_formation_on_electrodes,Operating_Condition:electrolyte_flow_rate_50_or_100_ml_min,caused_by,doc_1817,doc_1817_chunk_165760,,doc_1817,CO2RR,CO2RR
Failure_Mode:I2_precipitate_formation_on_electrodes,Operating_Condition:temperature_range_20_to_50_C,caused_by,doc_1817,doc_1817_chunk_165760,,doc_1817,CO2RR,CO2RR
Failure_Mode:I2_precipitation_at_low_temperature,Operating_Condition:temperature_range_20_to_50_C,caused_by,doc_1817,doc_1817_chunk_165764,,doc_1817,CO2RR,CO2RR
Failure_Mode:Import_Dependence_Risk,Operating_Condition:Hydrogen_Demand_2050,caused_by,doc_1961,doc_1961_chunk_178767,,doc_1961,other_reaction,other_reaction
Failure_Mode:Impurity_deposition_on_Cu_and_Au_electrodes,Cathode:Au_nanoparticles,caused_by,doc_1022,doc_1022_chunk_097077,,doc_1022,CO2RR,CO2RR
Failure_Mode:Impurity_deposition_on_Cu_and_Au_electrodes,Cathode:Cu_nanoparticles_2_15_nm,caused_by,doc_1022,doc_1022_chunk_097077,,doc_1022,CO2RR,CO2RR
Failure_Mode:Impurity_deposition_on_Cu_and_Au_electrodes,Gas_Feed:CO2_containing_reactants,caused_by,doc_1022,doc_1022_chunk_097077,,doc_1022,CO2RR,CO2RR
Failure_Mode:Inability_to_produce_C2_species_due_to_high_C_H_and_C_C_bond_formation_barriers_in_M_N4_catalysts,Cathode:Mn_based_Pacman_catalyst,caused_by,doc_0080,doc_0080_chunk_009493,,doc_0080,CO2RR,CO2RR
Failure_Mode:Incompatibility_with_acidic_C_H_Ellman_imines_and_poor_acidic_C_H_N_homoallylimine,Gas_Feed:N_allylimine_Ellman_imine_or_aldehydes_substrates,caused_by,doc_0700,doc_0700_chunk_066862,,doc_0700,CO2RR,CO2RR
Failure_Mode:Incomplete_reduction_of_metal_sulfide_microparticles,Cathode:Pb_and_Au_quantum_dot_derived_catalysts_QDDCs_with_vacancies,caused_by,doc_1057,doc_1057_chunk_099945,,doc_1057,unknown,unknown
Failure_Mode:Incomplete_reduction_of_metal_sulfide_microparticles,Cathode:QD_derived_catalysts_QDDCs,caused_by,doc_0049,doc_0049_chunk_004771,,doc_0049,CO2RR,CO2RR
Failure_Mode:Increased_alcohol_crossover_due_to_pressure_drop_and_flow_field_design,Operating_Condition:Electrolyte_temperature_control,caused_by,doc_2464,doc_2464_chunk_228331,,doc_2464,CO2RR,CO2RR
Failure_Mode:Increased_alcohol_crossover_due_to_pressure_gradients,Gas_Feed:CO_feed_gas,caused_by,doc_0677,doc_0677_chunk_064235,,doc_0677,CO2RR,CO2RR
Failure_Mode:Increased_alcohol_crossover_due_to_pressure_gradients,Operating_Condition:Current_density_100_200_mA_cm2,caused_by,doc_0677,doc_0677_chunk_064235,,doc_0677,CO2RR,CO2RR
Failure_Mode:Increased_hydrogen_evolution,Gas_Feed:CO2,caused_by,doc_0389,doc_0389_chunk_035520,,doc_0389,unknown,unknown
Failure_Mode:Industrial_Downsizing_Risk,Operating_Condition:Hydrogen_Demand_2050,caused_by,doc_1961,doc_1961_chunk_178770,,doc_1961,other_reaction,other_reaction
Failure_Mode:Inefficient_methylation_at_20_C,Operating_Condition:Catalyst_loading_temperature_solvent_polarity_hydroborane_equivalents_affect_yield,caused_by,doc_0021,doc_0021_chunk_001821,,doc_0021,CO2RR,CO2RR
Failure_Mode:Inhibition_of_coordinative_interaction_by_excess_pyridine,Gas_Feed:Phenol_proton_source,caused_by,doc_0433,doc_0433_chunk_039147,,doc_0433,other_reaction,other_reaction
Failure_Mode:Initial_irreversible_capacity_loss,Electrolyte:Electrolyte,caused_by,doc_1184,doc_1184_chunk_109118,,doc_1184,CORR,CORR
Failure_Mode:Initial_irreversible_capacity_loss,Operating_Condition:Pyrolysis_temperature_500_900_C,caused_by,doc_1184,doc_1184_chunk_109118,,doc_1184,CORR,CORR
Failure_Mode:Initial_irreversible_capacity_loss,Separator:Porous_structure_with_2_nm_pore_size,caused_by,doc_1184,doc_1184_chunk_109118,,doc_1184,CORR,CORR
Failure_Mode:Initial_rapid_decay_in_current_density,Cathode:NiSA_N_CNTs,caused_by,doc_0002,doc_0002_chunk_000357,,doc_0002,CO2RR,CO2RR
Failure_Mode:Initial_slight_capacity_decay,Cathode:TABQ_cathode,caused_by,doc_1414,doc_1414_chunk_127265,,doc_1414,CO2RR,CO2RR
Failure_Mode:Insoluble_MgCO3_formation_during_electrolysis,Operating_Condition:Potential_1_6_V_vs_Fc_0,caused_by,doc_0214,doc_0214_chunk_022133,,doc_0214,CO2RR,CO2RR
Failure_Mode:Insoluble_precipitates_magnesium_hydroxide_poisoning_catalysts,Anode:NiMoN_NiFeN_catalyst,caused_by,doc_2239,doc_2239_chunk_206259,,doc_2239,CO2RR,CO2RR
Failure_Mode:Insoluble_precipitates_magnesium_hydroxide_poisoning_catalysts,Cathode:NiMoN_nanorods,caused_by,doc_2239,doc_2239_chunk_206259,,doc_2239,CO2RR,CO2RR
Failure_Mode:Instability_due_to_leaching_and_amorphization,Cathode:BSCF_pseudocubic_perovskite,caused_by,doc_1165,doc_1165_chunk_107875,,doc_1165,CO2RR,CO2RR
Failure_Mode:Instability_of_Ag_electrode_at_potentials_0_8_V_vs_RHE,Cathode:Gold_electrode,caused_by,doc_0851,doc_0851_chunk_080291,,doc_0851,other_reaction,other_reaction
Failure_Mode:Instability_of_Cu_electrode_at_potentials_1_V_vs_RHE,Cathode:Gold_electrode,caused_by,doc_0851,doc_0851_chunk_080291,,doc_0851,other_reaction,other_reaction
Failure_Mode:Insufficient_photocatalytic_activity_for_practical_use,Anode:Sacrificial_agent,caused_by,doc_0995,doc_0995_chunk_094944,,doc_0995,CO2RR,CO2RR
Failure_Mode:Intensive_shuttle_effect_and_incomplete_sodiation_in_S_HC_cathode,Cathode:S_HC_sulfur_cathode_with_hollow_carbon_nanospheres,caused_by,doc_1260,doc_1260_chunk_114516,,doc_1260,CO2RR,CO2RR
Failure_Mode:Interfacial_losses_from_poor_catalyst_membrane_contact,Separator:AEM,caused_by,doc_0747,doc_0747_chunk_072147,,doc_0747,other_reaction,other_reaction
Failure_Mode:Interposer_degradation_or_fouling_requiring_replacement_after_15_h,Separator:Hydrophilic_mixed_cellulose_ester_MCE_membrane_interposer,caused_by,doc_2475,doc_2475_chunk_229486,,doc_2475,other_reaction,other_reaction
Failure_Mode:Ionomer_poisoning_causing_sluggish_electrode_kinetics,Cathode:Ionomer_free_Ir_porous_transport_electrode_PTE,caused_by,doc_1537,doc_1537_chunk_138836,,doc_1537,other_reaction,other_reaction
Failure_Mode:Ionomer_poisoning_of_Ir_catalyst_surface,Anode:Ionomer_coated_Ir_PTE,caused_by,doc_1957,doc_1957_chunk_178347,,doc_1957,CO2RR,CO2RR
Failure_Mode:IrO2_catalyst_degradation_forming_soluble_IrO4_2_species,Operating_Condition:Potential_range_0_9_to_1_94_V_vs_RHE,caused_by,doc_1802,doc_1802_chunk_164784,,doc_1802,other_reaction,other_reaction
Failure_Mode:IrOx_anode_deactivation,Anode:IrOx_electrode,caused_by,doc_0486,doc_0486_chunk_043921,,doc_0486,unknown,unknown
Failure_Mode:Ir_catalyst_poisoning_with_cycling,Cathode:Ir_rGO_cathode,caused_by,doc_1113,doc_1113_chunk_104379,,doc_1113,unknown,unknown
Failure_Mode:Ir_cluster_aggregation_and_dissolution_after_250_h_for_Ir_Co3O4,Operating_Condition:1_0_A_cm_2_current_density,caused_by,doc_2486,doc_2486_chunk_230764,,doc_2486,other_reaction,other_reaction
Failure_Mode:Ir_contamination_from_anode_causes_HER_and_degradation,Anode:IrO2_anode,caused_by,doc_0879,doc_0879_chunk_082778,,doc_0879,other_reaction,other_reaction
Failure_Mode:Ir_contamination_from_anode_causes_HER_and_degradation,Cathode:Cu_cathode,caused_by,doc_0879,doc_0879_chunk_082778,,doc_0879,other_reaction,other_reaction
Failure_Mode:Ir_dissolution,Anode:Ir_D_ATO_catalyst,caused_by,doc_1960,doc_1960_chunk_178672,,doc_1960,other_reaction,other_reaction
Failure_Mode:Ir_dissolution,Cathode:Pt_IrO2_C_nanocomposite,caused_by,doc_1762,doc_1762_chunk_161162,,doc_1762,other_reaction,other_reaction
Failure_Mode:Ir_dissolution,Cathode:WP_structured_Ir_catalyst,caused_by,doc_1865,doc_1865_chunk_169709,,doc_1865,other_reaction,other_reaction
Failure_Mode:Ir_dissolution_rate_0_054_wt_h_1,Anode:LaIr_Co3O4_catalyst,caused_by,doc_1609,doc_1609_chunk_146667,,doc_1609,other_reaction,other_reaction
Failure_Mode:Ir_dissolution_rate_0_11_wt_h_1,Anode:LaIr_Co3O4_catalyst,caused_by,doc_1609,doc_1609_chunk_146667,,doc_1609,other_reaction,other_reaction
Failure_Mode:Iridium_contamination_at_cathode,Anode:IrO2_anode,caused_by,doc_0879,doc_0879_chunk_082778,,doc_0879,other_reaction,other_reaction
Failure_Mode:Iridium_contamination_crossover_from_IrO2_anode_to_cathode,Anode:Nickel_foam_anode,caused_by,doc_2554,doc_2554_chunk_237138,,doc_2554,other_reaction,other_reaction
Failure_Mode:Iridium_contamination_crossover_from_IrO2_anode_to_cathode,Cathode:GDE,caused_by,doc_2554,doc_2554_chunk_237138,,doc_2554,other_reaction,other_reaction
Failure_Mode:Iridium_dissolution,Cathode:TS_Ir_MnO2_electrocatalyst,caused_by,doc_2392,doc_2392_chunk_220450,,doc_2392,other_reaction,other_reaction
Failure_Mode:Iridium_dissolution_concurrent_with_oxygen_evolution_reaction,Cathode:Nanoporous_Iridium_oxide_shell_on_metallic_Iridium_core,caused_by,doc_1236,doc_1236_chunk_112728,,doc_1236,CO2RR,CO2RR
Failure_Mode:Iridium_migration_into_membrane_with_acidified_anode_water_feed,Gas_Feed:Anode_water_feed_with_deionized_water_or_diluted_sulfuric_acid,caused_by,doc_1878,doc_1878_chunk_170779,,doc_1878,other_reaction,other_reaction
Failure_Mode:Iridium_scarcity_for_water_oxidation_catalysts,Separator:Polymer_electrolyte_membrane,caused_by,doc_0830,doc_0830_chunk_079002,,doc_0830,CO2RR,CO2RR
Failure_Mode:Irreversibility_due_to_different_catalytic_activities_of_NPMC_for_ORR_and_OER,Cathode:N_P_co_doped_mesoporous_carbon_foam_NPMC_catalyst,caused_by,doc_0318,doc_0318_chunk_029765,,doc_0318,CO2RR,CO2RR
Failure_Mode:Irreversible_Cu_Cu_bond_formation_and_cluster_formation,Cathode:Cu_clusters_on_carbon_support,caused_by,doc_1543,doc_1543_chunk_139454,,doc_1543,unknown,non_reaction
Failure_Mode:Irreversible_activity_degradation,Cathode:Pt_tetrapods_with_amorphous_Ni_OH_shell,caused_by,doc_2080,doc_2080_chunk_191425,,doc_2080,CO2RR,CO2RR
Failure_Mode:Irreversible_adsorption_of_bridge_bonded_CO,Cathode:Polycrystalline_Cu_electrode_with_Cu_100_and_Cu_111_facets,caused_by,doc_0107,doc_0107_chunk_012489,,doc_0107,CO2RR,CO2RR
Failure_Mode:Irreversible_catalyst_degradation,Cathode:SnO2_NPs_rGO_catalyst,caused_by,doc_1027,doc_1027_chunk_097546,,doc_1027,CO2RR,CO2RR
Failure_Mode:Irreversible_damage_to_ion_exchange_membranes_from_polyvalent_cation_precipitation,Separator:Porous_diaphragm_Zirfon,caused_by,doc_2044,doc_2044_chunk_187792,,doc_2044,other_reaction,other_reaction
Failure_Mode:Irreversible_decomposition_of_HKUST_1_and_Cu_cyclam_Cl_to_dendritic_Cu_nanostructures,Cathode:Cu_cyclam_Cl_complex_with_Cu2_ion,caused_by,doc_1242,doc_1242_chunk_113134,,doc_1242,other_reaction,other_reaction
